p (Variables),Noise Type,Variance Type,SHD
3,Uniform,Different,2
3,Uniform,Different,1
3,Uniform,Different,1
3,Uniform,Different,3
3,Uniform,Different,0
3,Uniform,Different,1
3,Uniform,Different,2
3,Uniform,Different,0
3,Uniform,Different,3
3,Uniform,Different,1
3,Uniform,Different,0
3,Uniform,Different,1
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,3
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,0
3,Uniform,Different,1
3,Uniform,Different,1
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,1
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,0
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,0
3,Uniform,Different,0
3,Uniform,Different,2
3,Uniform,Different,1
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,1
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,3
3,Uniform,Different,0
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,2
3,Uniform,Different,0
3,Uniform,Different,1
3,Uniform,Different,1
3,Uniform,Different,0
3,Uniform,Different,3
3,Uniform,Different,1
3,Uniform,Different,0
3,Gaussian,Different,3
3,Gaussian,Different,2
3,Gaussian,Different,4
3,Gaussian,Different,3
3,Gaussian,Different,2
3,Gaussian,Different,3
3,Gaussian,Different,5
3,Gaussian,Different,4
3,Gaussian,Different,2
3,Gaussian,Different,3
3,Gaussian,Different,1
3,Gaussian,Different,3
3,Gaussian,Different,5
3,Gaussian,Different,3
3,Gaussian,Different,1
3,Gaussian,Different,4
3,Gaussian,Different,3
3,Gaussian,Different,2
3,Gaussian,Different,4
3,Gaussian,Different,4
3,Gaussian,Different,2
3,Gaussian,Different,1
3,Gaussian,Different,4
3,Gaussian,Different,3
3,Gaussian,Different,1
3,Gaussian,Different,5
3,Gaussian,Different,1
3,Gaussian,Different,3
3,Gaussian,Different,2
3,Gaussian,Different,4
3,Gaussian,Different,3
3,Gaussian,Different,2
3,Gaussian,Different,4
3,Gaussian,Different,4
3,Gaussian,Different,3
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,4
3,Gaussian,Different,3
3,Gaussian,Different,3
3,Gaussian,Different,4
3,Gaussian,Different,1
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,4
3,Gaussian,Different,3
3,Gaussian,Different,1
3,Gaussian,Different,1
3,Gaussian,Different,0
3,Gaussian,Different,3
3,Gaussian,Different,4
3,Gaussian,Different,4
3,Gaussian,Different,5
3,Gaussian,Different,3
3,Gaussian,Different,2
3,Gaussian,Different,1
3,Gaussian,Different,4
3,Gaussian,Different,0
3,Gaussian,Different,3
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,0
3,Gaussian,Different,1
3,Gaussian,Different,3
3,Gaussian,Different,2
3,Gaussian,Different,4
3,Gaussian,Different,1
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,4
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,4
3,Gaussian,Different,0
3,Gaussian,Different,2
3,Gaussian,Different,5
3,Gaussian,Different,4
3,Gaussian,Different,4
3,Gaussian,Different,4
3,Gaussian,Different,1
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,3
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,2
3,Gaussian,Different,1
3,Gaussian,Different,1
3,Gaussian,Different,4
3,Gaussian,Different,1
3,Gaussian,Different,1
3,Gaussian,Different,4
4,Uniform,Fixed,1
4,Uniform,Fixed,2
4,Uniform,Fixed,6
4,Uniform,Fixed,4
4,Uniform,Fixed,5
4,Uniform,Fixed,2
4,Uniform,Fixed,4
4,Uniform,Fixed,3
4,Uniform,Fixed,4
4,Uniform,Fixed,3
4,Uniform,Fixed,5
4,Uniform,Fixed,3
4,Uniform,Fixed,1
4,Uniform,Fixed,3
4,Uniform,Fixed,3
4,Uniform,Fixed,2
4,Uniform,Fixed,5
4,Uniform,Fixed,1
4,Uniform,Fixed,3
4,Uniform,Fixed,5
4,Uniform,Fixed,5
4,Uniform,Fixed,3
4,Uniform,Fixed,3
4,Uniform,Fixed,2
4,Uniform,Fixed,4
4,Uniform,Fixed,5
4,Uniform,Fixed,2
4,Uniform,Fixed,2
4,Uniform,Fixed,4
4,Uniform,Fixed,3
4,Uniform,Fixed,3
4,Uniform,Fixed,4
4,Uniform,Fixed,2
4,Uniform,Fixed,5
4,Uniform,Fixed,3
4,Uniform,Fixed,3
4,Uniform,Fixed,3
4,Uniform,Fixed,4
4,Uniform,Fixed,2
4,Uniform,Fixed,1
4,Uniform,Fixed,3
4,Uniform,Fixed,5
4,Uniform,Fixed,3
4,Uniform,Fixed,5
4,Uniform,Fixed,3
4,Uniform,Fixed,2
4,Uniform,Fixed,1
4,Uniform,Fixed,4
4,Uniform,Fixed,4
4,Uniform,Fixed,4
4,Uniform,Fixed,1
4,Uniform,Fixed,5
4,Uniform,Fixed,3
4,Uniform,Fixed,3
4,Uniform,Fixed,4
4,Uniform,Fixed,4
4,Uniform,Fixed,1
4,Uniform,Fixed,1
4,Uniform,Fixed,5
4,Uniform,Fixed,2
4,Uniform,Fixed,2
4,Uniform,Fixed,5
4,Uniform,Fixed,1
4,Uniform,Fixed,3
4,Uniform,Fixed,2
4,Uniform,Fixed,4
4,Uniform,Fixed,5
4,Uniform,Fixed,3
4,Uniform,Fixed,4
4,Uniform,Fixed,5
4,Uniform,Fixed,2
4,Uniform,Fixed,1
4,Uniform,Fixed,4
4,Uniform,Fixed,5
4,Uniform,Fixed,2
4,Uniform,Fixed,4
4,Uniform,Fixed,3
4,Uniform,Fixed,4
4,Uniform,Fixed,2
4,Uniform,Fixed,4
4,Uniform,Fixed,4
4,Uniform,Fixed,3
4,Uniform,Fixed,2
4,Uniform,Fixed,3
4,Uniform,Fixed,4
4,Uniform,Fixed,2
4,Uniform,Fixed,2
4,Uniform,Fixed,2
4,Uniform,Fixed,3
4,Uniform,Fixed,3
4,Uniform,Fixed,4
4,Uniform,Fixed,2
4,Uniform,Fixed,3
4,Uniform,Fixed,4
4,Uniform,Fixed,4
